,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
55,2015-01-01,13201536.042269072,23760109.14403472,23880271.34919655,13201536.042269072,13201536.042269072,10619386.466909122,10619386.466909122,10619386.466909122,10619386.466909122,10619386.466909122,10619386.466909122,0.0,0.0,0.0,23820922.50917819
56,2016-01-01,13562705.532915378,24096748.974340692,24213390.950144194,13562705.532915378,13562705.532915378,10592109.690286478,10592109.690286478,10592109.690286478,10592109.690286478,10592109.690286478,10592109.690286478,0.0,0.0,0.0,24154815.223201856
57,2017-01-01,13924864.529015511,24478862.054777652,24600218.72443888,13924864.529015511,13924864.529015511,10615442.869513312,10615442.869513312,10615442.869513312,10615442.869513312,10615442.869513312,10615442.869513312,0.0,0.0,0.0,24540307.39852882
58,2018-01-01,14286034.019661818,24853408.962569386,24970239.360259682,14286034.019661818,14286034.019661818,10627368.398375832,10627368.398375832,10627368.398375832,10627368.398375832,10627368.398375832,10627368.398375832,0.0,0.0,0.0,24913402.41803765
59,2019-01-01,14647203.510308124,25208299.753666304,25327186.293500535,14647203.510308124,14647203.510308124,10619386.466904629,10619386.466904629,10619386.466904629,10619386.466904629,10619386.466904629,10619386.466904629,0.0,0.0,0.0,25266589.977212753
60,2020-01-01,15008373.00095443,25541016.52878707,25661854.312957272,15008373.00095443,15008373.00095443,10592109.690287279,10592109.690287279,10592109.690287279,10592109.690287279,10592109.690287279,10592109.690287279,0.0,0.0,0.0,25600482.69124171
61,2021-01-01,15370531.997054562,25920906.451584257,26047593.86890024,15365496.056798425,15373157.801491011,10615442.869511463,10615442.869511463,10615442.869511463,10615442.869511463,10615442.869511463,10615442.869511463,0.0,0.0,0.0,25985974.866566025
62,2022-01-01,15731701.48770087,26289084.13089918,26431221.351131715,15705773.374327714,15751110.58989586,10627368.398375658,10627368.398375658,10627368.398375658,10627368.398375658,10627368.398375658,10627368.398375658,0.0,0.0,0.0,26359069.88607653
63,2023-01-01,16092870.978347175,26630497.470547933,26785725.024058234,16041334.359879903,16134808.909082504,10619386.466909776,10619386.466909776,10619386.466909776,10619386.466909776,10619386.466909776,10619386.466909776,0.0,0.0,0.0,26712257.44525695
64,2024-01-01,16454040.468993483,26945371.177312396,27146293.79268851,16373034.188441202,16524692.268221024,10592109.690282378,10592109.690282378,10592109.690282378,10592109.690282378,10592109.690282378,10592109.690282378,0.0,0.0,0.0,27046150.15927586
65,2025-01-01,16816199.465093613,27307173.200772453,27551329.584315084,16697779.754097054,16923464.460400004,10615442.869516406,10615442.869516406,10615442.869516406,10615442.869516406,10615442.869516406,10615442.869516406,0.0,0.0,0.0,27431642.33461002
66,2026-01-01,17177368.955739923,27633056.51115514,27959042.92330642,17024107.595800724,17319066.62687364,10627368.39837488,10627368.39837488,10627368.39837488,10627368.39837488,10627368.39837488,10627368.39837488,0.0,0.0,0.0,27804737.3541148
67,2027-01-01,17538538.446386233,27952029.442545965,28362962.47147934,17335727.442413867,17722790.418106996,10619386.46690479,10619386.46690479,10619386.46690479,10619386.46690479,10619386.46690479,10619386.46690479,0.0,0.0,0.0,28157924.913291022
68,2028-01-01,17899707.937032536,28233722.100807205,28725155.493125614,17650028.376135826,18127249.04961282,10592109.690286165,10592109.690286165,10592109.690286165,10592109.690286165,10592109.690286165,10592109.690286165,0.0,0.0,0.0,28491817.627318703
69,2029-01-01,18261866.933132667,28567153.530514125,29151138.643484388,17959536.353494305,18539268.16915459,10615442.869511804,10615442.869511804,10615442.869511804,10615442.869511804,10615442.869511804,10615442.869511804,0.0,0.0,0.0,28877309.80264447
70,2030-01-01,18623036.423778977,28889238.341306336,29622127.424294736,18262908.055426333,18958836.764276884,10627368.39837694,10627368.39837694,10627368.39837694,10627368.39837694,10627368.39837694,10627368.39837694,0.0,0.0,0.0,29250404.822155915
